seed;training;test;validation;model
4;0.324901;0.279762;0.0714286;physical emotional ECG_p_LF_prctile25 0.25 / 1 > if-else mental emotional -0.5 -0.5 < if-else physical mental IT_PSD_skewness -0.25 < if-else ECG_PSD_mean ECG_hrv_prctile75 / 0.75 < if-else IT_LF_max IT_VLF_baseline < if-else neutral IT_BRV_median IT_LF_mean + -0.5 - -1 > IT_LF_MF_HF IT_BRV_mad > and if-else mental neutral physical HAND_EDA_Functionals_power_Filt2prctile25 -1 > if-else ARM_EDA_Filt2_baseline -0.25 0.25 IT_Original_harmmean * - < if-else physical IT_LF_max IT_VLF_baseline < if-else ECG_hrv_trimmean25 IT_BRV_mad -0.75 -1 * IT_BRV_kurtosis 0.25 / + 0.75 * + < if-else 
3;0.353671;0.35119;0.0892857;neutral neutral emotional mental HAND_EDA_Filt1_geomean(abs) 0.25 < if-else IT_PSD_geomean(abs) ECG_HR_min_div_harmmean + IT_RF_prctile75 < if-else mental ECG_hrv_trimmean25 ECG_original_mad < if-else 0.25 IT_LF_MF_HF > ECG_amplitude_RR_skewness IT_LF_MF_HF < or if-else emotional mental -0.5 0.25 > if-else mental emotional HAND_EDA_Functionals_power_Fil12baseline HAND_EDA_Functionals_power_Filt2trimmean25 < if-else ECG_p_VFL_std 0 - IT_RF_min -0.25 - > if-else mental mental ECG_hrv_kurtosis HAND_EDA_Functionals_power_Originalmin > if-else physical -0.25 0.75 > ARM_EDA_Functionals_power_Fil12std 0.75 < or if-else ECG_RR_window_median ECG_hrv_median HAND_EDA_Functionals_power_Filt2min * 0.25 - > if-else physical IT_RF_prctile75 IT_VLF_harmmean / IT_LF_mean - ECG_hrv_trimmean25 > if-else IT_VLF_harmmean IT_BRV_baseline > IT_LF_geomean(abs) ECG_hrv_trimmean25 > and IT_PSD_harmmean IT_RF_prctile75 - ARM_EDA_Filt2_prctile25 > and 1 IT_LF_MF_HF < or if-else 
1;0.301587;0.270833;0.151786;neutral physical mental ECG_p_VFL_mean ECG_RR_window_mean > if-else physical emotional -0.25 0 > if-else ECG_HR_min_div_median 0.25 > 0.25 ECG_hrv_mean < or if-else emotional mental 0.75 -1 < if-else emotional neutral IT_BRV_min 0.25 > if-else ECG_hrv_median -0.25 - ARM_EDA_Functionals_power_Filt2max > if-else IT_LF_prctile25 IT_PSD_baseline > 0 -0.25 < or IT_RF_mad 0.75 > IT_Original_baseline 0.75 < and or if-else mental physical -1 IT_RF_mad > ARM_EDA_Filt2_prctile25 1 > or if-else mental emotional ECG_original_median -0.25 > 0.75 IT_RF_std < or if-else 0.75 ECG_HR_min_div_harmmean < -0.75 1 < and -1 -0.5 > IT_LF_HF ARM_EDA_Filt2_skewness > and or if-else 1 ECG_HR_min_div_skewness < -0.25 IT_RF_Area < or IT_p_Total_baseline 1 > HAND_EDA_Filt1_std 0.25 < or or ARM_EDA_Filt1_median 1 > -0.75 0.75 < 0.75 ECG_Logstd < or and or if-else -0.5 0.75 < 1 IT_LF_prctile25 < or IT_MF_std HAND_EDA_processed_std > ARM_EDA_Functionals_power_Fil12prctile75 ECG_p_total_LF_geomean(abs) < or or -0.25 IT_CCV_LF + -0.5 > -0.25 0.75 > -0.75 IT_RF_baseline > and or and -0.5 -1 < ARM_EDA_Original_mad 0.5 < or ECG_original_max HAND_EDA_Functionals_power_Fil12max < 0.25 0.25 > or or 0.25 0.25 < IT_MF_HF -0.75 < or 1 ARM_EDA_Functionals_power_Fil12mad > 0 1 < and and and or if-else 
5;0.269345;0.244048;0.160714;emotional neutral IT_VLF_baseline 0.75 ^ IT_MF_HF > if-else mental neutral HAND_EDA_Original_kurtosis 0.75 * 0.5 -0.25 - > if-else -1 -1 > ECG_original_min 0.75 > HAND_EDA_p_samples ECG_HF_LF < or and if-else mental emotional -1 IT_LF_geomean(abs) > if-else neutral IT_HF_kurtosis 0.25 > IT_VLF_baseline IT_VLF_mean < and if-else mental emotional mental ECG_p_LF_median 1 < if-else 0.75 -0.25 > if-else IT_MF_HF -1 < 0 1 < -0.25 -0.5 > or and if-else -1 0.75 < 0 IT_BRV_prctile75 > IT_RF_geomean(abs) ECG_RR_window_mad < or and 0.75 HAND_EDA_Filt2_baseline > IT_PSD_skewness IT_PSD_geomean(abs) > -0.5 HAND_EDA_Functionals_power_Fil12max > and and and if-else physical mental ARM_EDA_Functionals_power_Filt2mad -0.5 > if-else neutral neutral ARM_EDA_Functionals_power_Originalmin HAND_EDA_Filt1_skewness < if-else emotional IT_MF_HF 0.25 < if-else -1 ECG_original_baseline < ECG_hrv_trimmean25 ARM_EDA_Functionals_power_Filt2min -0.5 * > and if-else emotional physical 0.75 0.25 < if-else emotional physical emotional -0.5 -0.75 < if-else ECG_p_LF_prctile25 -1 < HAND_EDA_Functionals_power_Fil12max HAND_EDA_Filt2_baseline < or if-else 0.75 -1 -1 - > 0.25 ECG_amplitude_RR_skewness > and if-else 0.75 -0.5 > ECG_original_prctile75 ECG_HR_min_div_prctile75 > 0.5 0.5 < or or 0.75 IT_LF_mean > 0.25 -1 > and and if-else 1 -0.75 < -0.5 0.75 < or IT_LF_mean -0.75 < and IT_VLF_baseline ECG_hrv_geomean(abs) - ECG_RMSSDD > HAND_EDA_area IT_BRV_geomean(abs) > and or -0.75 -1 > 0 IT_Original_prctile75 > and IT_VLF_baseline 0.25 ECG_p_HF_prctile75 ^ ^ ECG_original_kurtosis 0.25 + > and or if-else 
2;0.267609;0.220238;0.223214;mental physical ECG_PSD_geomean(abs) ARM_EDA_Functionals_power_Fil12max > 1 -0.5 > and if-else emotional mental ARM_EDA_Functionals_power_Originaltrimmean25 ECG_p_LF_skewness < if-else -0.75 0.5 > ECG_hrv_baseline IT_BRV_min > or -0.75 0.25 > IT_MF_baseline IT_BRV_min < and and if-else physical neutral ECG_A2_DFA ECG_amplitude_RR_max > if-else emotional neutral emotional 0 0 > if-else ECG_RSAindex HAND_EDA_Filt1_std < if-else ECG_amplitude_RR_prctile25 -0.25 < HAND_EDA_Filt2_max 0.25 / 0.25 > or if-else ECG_p_LF_baseline ARM_EDA_Functionals_power_Fil12mad ECG_NN50 HAND_EDA_Functionals_power_Fil12mad ^ * > ECG_A2_DFA IT_LF_mad > IT_RF_mean ARM_EDA_Original_max > and or if-else emotional mental HAND_EDA_Filt1_trimmean25 HAND_EDA_n_ocu < if-else mental emotional IT_RF_skewness 0.25 < if-else ECG_p_LF_baseline -0.75 ECG_amplitude_RR_trimmean25 - < if-else physical mental IT_LF_geomean(abs) 0.5 < if-else emotional physical 0 IT_RF_prctile75 > if-else IT_RF_prctile75 -1 < ECG_p_VFL_baseline ECG_hrv_trimmean25 < or if-else -0.5 -0.25 < ECG_hrv_geomean(abs) -0.5 < and 0 IT_RF_Area > 0.75 HAND_EDA_Functionals_power_Filt2mean < or and if-else neutral physical HAND_EDA_Functionals_power_Originalgeomean(abs) 0.75 < if-else mental 0.5 ECG_p_LF_mad < -0.75 HAND_EDA_Original_prctile25 < and if-else neutral 0 IT_BRV_max < ECG_p_LF_skewness 0.25 > ECG_amplitude_RR_prctile75 ECG_PSD_prctile75 < and and if-else IT_MF_HF ECG_hrv_baseline ^ -0.25 0 + IT_PSD_mad * > 0.5 ECG_PSD_kurtosis -0.25 ^ < 0.5 IT_LF_max < -1 0 < and and or if-else HAND_EDA_Filt1_min ECG_p_total_LF_mean -0.75 / ECG_hrv_baseline ^ < IT_Original_harmmean -0.5 < 1 ARM_EDA_Filt1_skewness > and -1 -0.25 -0.5 / > and ECG_PSD_trimmean25 -0.25 < 0 ECG_original_median < and ECG_amplitude_RR_prctile25 -0.25 < and and and if-else 
9;0.323165;0.392857;0.133929;emotional mental neutral neutral ECG_A1_DFA 0.25 < -0.75 -0.25 > and if-else ECG_hrv_mean ECG_p_total_LF_geomean(abs) ECG_hrv_prctile75 - ARM_EDA_Functionals_power_Filt2kurtosis ECG_p_MF_trimmean25 + - > if-else IT_BRV_baseline 0.25 > IT_p_Total_prctile25 ARM_EDA_Filt1_kurtosis < and HAND_EDA_processed_baseline HAND_EDA_Functionals_power_Fil12max - 1 IT_HF_LF - < IT_BRV_baseline IT_p_Total_baseline IT_LF_HF + > and or if-else physical -0.75 HAND_EDA_Filt1_kurtosis ECG_p_LF_harmmean ^ > IT_HF_geomean(abs) IT_MF_baseline < -1 1 < and -1 0.75 > ARM_EDA_Filt1_mad 0 > and or IT_LF_std 1 < -0.5 ECG_original_mean * ECG_hrv_mean > and or or if-else 
8;0.266369;0.202381;0.151786;emotional mental emotional ARM_EDA_Filt2_min ARM_EDA_Functionals_power_Filt2kurtosis > if-else mental 0.25 HAND_EDA_processed_prctile25 < ECG_p_VFL_harmmean ECG_HR_min_div_trimmean25 > and if-else IT_BRV_mad ECG_hrv_prctile25 > if-else physical mental ECG_hrv_prctile75 ECG_original_skewness > if-else -0.75 ARM_EDA_Original_mad -1 * IT_Original_prctile75 - < ECG_hrv_mean 0.25 < and if-else neutral neutral -0.25 IT_p_Total_skewness < 0.75 HAND_EDA_Functionals_power_Originalmad < and ECG_amplitude_RR_trimmean25 HAND_EDA_Filt2_geomean(abs) ECG_RR_window_kurtosis ^ > and if-else neutral IT_Original_trimmean25 0 -0.5 / > ECG_hrv_prctile25 ARM_EDA_Functionals_power_Originalprctile75 < or if-else 0 IT_PSD_kurtosis 0.75 IT_CCV_LF / IT_LF_baseline / -0.5 * ^ < if-else 
7;0.293155;0.22619;0.151786;neutral physical 0.75 1 ^ ECG_p_VFL_kurtosis 0.25 ^ < ARM_EDA_Filt2_skewness -0.5 > IT_LF_mean ARM_EDA_Filt2_baseline < or or if-else neutral emotional neutral -0.75 ECG_hrv_baseline > if-else emotional 1 ARM_EDA_Functionals_power_Fil12median < 1 ARM_EDA_Original_skewness > and if-else 0.5 1 > HAND_EDA_Original_std HAND_EDA_amp_scr < or ECG_hrv_min IT_LF_MF_HF > or if-else -1 0.75 > -0.75 ECG_p_LF_median * HAND_EDA_processed_baseline > or if-else neutral emotional mental emotional ECG_EI HAND_EDA_processed_std < if-else -0.5 ECG_hrv_trimmean25 > if-else IT_LF_MF_HF 0.25 < if-else physical 0.75 ECG_hrv_trimmean25 > if-else ARM_EDA_Original_skewness 1 ^ IT_RF_mad 1 * > -0.25 HAND_EDA_processed_baseline IT_LF_MF_HF + ECG_p_MF_median ARM_EDA_Functionals_power_Filt2prctile25 + -1 - * > and if-else 
10;0.27381;0.217262;0.1875;emotional emotional neutral mental ARM_EDA_Filt1_trimmean25 -1 > if-else 0.75 IT_p_Total_geomean(abs) < -0.25 ECG_p_MF_trimmean25 > and if-else IT_LF_max 0.75 - -0.25 < if-else emotional neutral emotional 1 -1 > if-else -0.75 0.75 < ECG_p_VFL_std 0 < or if-else emotional physical ARM_EDA_processed_mad -1 * HAND_EDA_processed_min < if-else 0.5 IT_LF_geomean(abs) > 0.75 -0.75 * -0.5 > or if-else -1 -0.5 > if-else physical emotional 0.5 IT_LF_geomean(abs) > -1 -0.5 > or if-else neutral physical emotional ECG_amplitude_RR_geomean(abs) 1 > if-else mental 0.25 IT_BRV_baseline + IT_p_Total_baseline > if-else IT_MF_HF 0.75 - IT_CCV_LF < if-else 0.5 IT_p_Total_baseline ECG_HR_min_div_median - + IT_MF_HF 0.75 - < if-else 0.75 IT_LF_prctile75 < IT_CCV_LF -1 HAND_EDA_area * > and if-else 
6;0.246528;0.205357;0.116071;physical neutral ARM_EDA_Filt1_kurtosis IT_VLF_baseline > if-else emotional IT_RF_mean -1 * ECG_hrv_trimmean25 < if-else neutral IT_p_Total_skewness -0.75 > -1 IT_LF_kurtosis > and ECG_p_MF_std ARM_EDA_Functionals_power_Fil12median > -0.25 0.5 > and or HAND_EDA_Filt2_skewness 0.75 > and if-else mental mental HAND_EDA_Filt2_skewness 0.75 > if-else physical neutral ARM_EDA_Filt1_kurtosis -0.75 > if-else emotional IT_RF_mean -0.75 * ECG_hrv_trimmean25 < if-else ECG_LF_MF_HF 0.75 < HAND_EDA_Filt1_prctile75 HAND_EDA_Functionals_power_Filt2skewness > and IT_LF_trimmean25 -1 < and if-else emotional mental mental IT_BRV_trimmean25 IT_PSD_std + ECG_amplitude_RR_mean ARM_EDA_processed_std ^ > if-else ECG_hrv_mean -0.5 < IT_MF_baseline 0.75 < and if-else ECG_hrv_geomean(abs) IT_VLF_baseline > if-else ECG_hrv_trimmean25 -0.25 < IT_BRV_max -1 < 0 IT_p_Total_baseline < and and 0.75 IT_BRV_kurtosis * IT_LF_MF_HF > or ECG_HR_min_div_prctile25 -0.75 > IT_HF_kurtosis HAND_EDA_Original_kurtosis < and ECG_HR_min_div_max IT_RF_prctile25 > ARM_EDA_Functionals_power_Filt2geomean(abs) 0 > and and ECG_p_HF_mad -0.75 < and or if-else 
