seed;training;test;validation;model
4;0.3187;0.25;0.339286;neutral neutral mental 0.25 IT_RF_median > HAND_EDA_Original_median ECG_LF_MF_HF > or if-else HAND_EDA_Original_max -0.25 + ARM_EDA_Functionals_power_Originalmad ^ -0.5 < if-else physical neutral HAND_EDA_Functionals_power_Filt2trimmean25 ECG_PSD_prctile75 > IT_BRV_kurtosis HAND_EDA_processed_baseline < or if-else ECG_PSD_harmmean -1 < 0.75 0 < or if-else emotional neutral ARM_EDA_Filt1_harmmean 1 > if-else emotional -0.75 IT_BRV_prctile75 > if-else mental -0.5 ECG_hrv_median > if-else physical physical mental ECG_HR_min_div_harmmean 0.5 < if-else 1 IT_LF_HF < if-else physical emotional HAND_EDA_Functionals_power_Filt2trimmean25 ECG_PSD_prctile75 > IT_BRV_kurtosis HAND_EDA_processed_baseline < or if-else 0.5 -0.25 -0.25 * < if-else 0 -1 / 0.75 ^ ECG_hrv_median > ARM_EDA_Functionals_power_Originalprctile75 0.5 > HAND_EDA_Original_trimmean25 HAND_EDA_Functionals_power_Filt2prctile75 0.5 + < or and if-else -0.25 IT_LF_HF < 1 -0.25 > and if-else 
3;0.384177;0.127976;0.357143;mental physical -0.25 -0.75 IT_LF_prctile75 - < if-else physical neutral ECG_amplitude_RR_kurtosis HAND_EDA_Original_min > IT_MF_skewness ECG_amplitude_RR_mad < and if-else neutral emotional IT_Original_prctile25 -0.75 < if-else 0 ARM_EDA_Filt1_harmmean > -0.25 0.5 < and -0.75 IT_LF_baseline < HAND_EDA_Filt2_trimmean25 ARM_EDA_processed_mean > and or if-else mental neutral emotional IT_Original_prctile25 -0.75 < if-else ECG_hrv_median -0.5 > if-else neutral ECG_PSD_std IT_PSD_geomean(abs) * IT_BRV_prctile75 ^ IT_HF_skewness ECG_RSAindex ^ < if-else -0.5 ARM_EDA_Functionals_power_Originalkurtosis / 0.25 0.75 * IT_LF_prctile75 ECG_p_VFL_geomean(abs) * - > if-else IT_LF_max ECG_hrv_median IT_BRV_prctile75 ARM_EDA_Original_baseline HAND_EDA_Original_median * IT_PSD_mad / + ^ < if-else 
5;0.394345;0.41369;0.196429;emotional physical physical IT_VLF_median ECG_p_HF_max < if-else emotional physical ECG_p_LF_baseline 1 > if-else ECG_amplitude_RR_geomean(abs) 0.75 / -1 > if-else mental emotional 0 IT_LF_prctile75 > if-else neutral IT_BRV_median -1 > ARM_EDA_Filt2_skewness ARM_EDA_Functionals_power_Originalgeomean(abs) < or if-else ECG_original_prctile75 0.5 - ECG_M - IT_HF_baseline > if-else ECG_amplitude_RR_max -0.5 > ARM_EDA_Functionals_power_Filt2skewness -0.75 > or -0.75 -0.75 < 0.75 ARM_EDA_processed_harmmean > or and HAND_EDA_area ARM_EDA_Original_trimmean25 < ECG_hrv_median IT_BR_mean < or HAND_EDA_n_ocu IT_p_Total_baseline > -0.25 ECG_RR_window_median < and and and if-else emotional neutral 0.75 ECG_p_VFL_median < if-else mental emotional ECG_p_LF_median ECG_IE > if-else 0.5 HAND_EDA_Original_prctile25 > ARM_EDA_Filt1_skewness 0 < or if-else emotional physical 0.5 -0.5 < if-else ECG_p_MF_prctile75 -0.75 > if-else mental emotional 0 IT_LF_prctile75 > if-else neutral IT_BRV_median -1 > ARM_EDA_Filt2_skewness ARM_EDA_Functionals_power_Originalgeomean(abs) < or if-else ECG_original_prctile75 IT_VLF_mean - ECG_M - IT_HF_baseline > if-else -0.5 IT_HF_kurtosis / IT_LF_trimmean25 < if-else 
1;0.296875;0.238095;0.178571;neutral emotional emotional -1 HAND_EDA_Filt1_kurtosis ^ -1 < if-else 1 0.5 0.75 - > 1 IT_Original_baseline > or if-else emotional emotional IT_Original_std ECG_HR_min_div_kurtosis < if-else mental ECG_original_std HAND_EDA_Original_min > if-else neutral ECG_p_HF_baseline 0 0 + < HAND_EDA_Functionals_power_Fil12kurtosis 0 0.75 + < and if-else IT_HF_LF IT_BRV_prctile75 -0.25 * < -0.5 0.75 ECG_HR_min_div_min + < and if-else emotional physical emotional ARM_EDA_processed_std 0.25 > if-else 0 -0.5 0.5 - > ECG_p_LF_geomean(abs) 0 < and if-else physical physical 1 0.75 > if-else -0.25 IT_Original_baseline > ARM_EDA_Functionals_power_Filt2std -0.75 * ECG_hrv_mean > 1 IT_Original_baseline > and or if-else IT_BRV_kurtosis IT_HF_LF > IT_p_Total_baseline ECG_hrv_geomean(abs) > -1 HAND_EDA_Functionals_power_Originalskewness ECG_p_total_LF_median - * IT_Original_baseline < and or if-else 
2;0.434524;0.369048;0.294643;physical neutral ECG_RR_window_prctile75 ECG_original_geomean(abs) < if-else emotional ECG_RR_window_prctile75 ECG_original_geomean(abs) < if-else neutral mental neutral HAND_EDA_Functionals_power_Originalmin ECG_DBD < if-else physical ECG_amplitude_RR_prctile75 IT_BRV_min > if-else 0.25 IT_Original_harmmean < IT_HF_kurtosis IT_VLF_prctile75 > and if-else -0.75 IT_Original_baseline HAND_EDA_Functionals_power_Filt2geomean(abs) ^ / IT_PSD_mad ARM_EDA_Original_harmmean 0 - + > 1 -0.75 > HAND_EDA_Functionals_power_Filt2max ECG_amplitude_RR_min < and -0.5 IT_LF_mad ARM_EDA_Functionals_power_Originalmin ^ < or or if-else mental neutral ECG_hrv_prctile75 0.25 > if-else neutral neutral HAND_EDA_processed_baseline ECG_A1_DFA < if-else physical 0.5 0.25 < if-else emotional mental neutral ECG_p_total_LF_baseline ECG_p_LF_prctile75 > if-else -0.75 IT_VLF_prctile75 > if-else -0.25 IT_MF_HF < if-else IT_MF_baseline ECG_PSD_mean * ECG_p_VFL_skewness + ECG_p_VFL_trimmean25 < if-else HAND_EDA_cross_neg ECG_PSD_mean * -1 0.75 * - -0.75 < ECG_RR_window_prctile75 ECG_original_geomean(abs) < and IT_BRV_mad HAND_EDA_Original_min > IT_VLF_baseline ARM_EDA_Functionals_power_Originalmad < ARM_EDA_Functionals_power_Filt2prctile25 -1 > and or IT_MF_baseline IT_MF_HF < and or if-else 
10;0.323165;0.330357;0.25;neutral physical emotional ARM_EDA_Functionals_power_Filt2kurtosis -0.5 + ECG_original_geomean(abs) < if-else physical physical -0.25 ARM_EDA_processed_skewness > if-else mental emotional -1 -0.75 > if-else ECG_original_geomean(abs) ECG_RR_window_mean > if-else 0 -0.25 > HAND_EDA_processed_kurtosis 1 < and 0.5 ECG_p_MF_min < and if-else -0.5 ARM_EDA_Filt2_max - 0.25 -1 * IT_MF_baseline - 0.5 IT_BRV_baseline * + > if-else neutral IT_BRV_kurtosis IT_PSD_kurtosis < if-else 
9;0.30506;0.258929;0.267857;mental physical ECG_hrv_trimmean25 IT_LF_trimmean25 -1 / < if-else neutral IT_HF_kurtosis -0.25 HAND_EDA_Functionals_power_Fil12max 0.75 ECG_amplitude_RR_std ^ - * > if-else neutral emotional mental IT_Original_harmmean 0.5 > if-else emotional 0.5 IT_MF_baseline < if-else -0.25 ARM_EDA_Filt1_geomean(abs) * IT_MF_baseline < IT_MF_baseline IT_HF_kurtosis > and if-else physical emotional IT_MF_baseline IT_HF_kurtosis < if-else mental IT_MF_baseline 0.5 < if-else -0.25 ECG_HR_min_div_mad * ARM_EDA_Filt1_mad ECG_p_total_LF_mean + IT_LF_trimmean25 -1 * - * ECG_hrv_trimmean25 > if-else IT_BRV_baseline ECG_HR_min_div_min < 0.75 HAND_EDA_Original_geomean(abs) > -1 ARM_EDA_amp_scr > ARM_EDA_Filt2_prctile75 HAND_EDA_processed_std < or or IT_MF_baseline 0.5 < 0.5 -0.25 IT_RF_skewness * < or and and if-else 
7;0.326885;0.404762;0.383929;neutral neutral emotional IT_PSD_skewness -0.25 < if-else neutral IT_MF_kurtosis 0 IT_LF_mean / > if-else IT_LF_baseline 0 < if-else emotional neutral physical -0.5 0 < if-else -1 0 < if-else mental ARM_EDA_Functionals_power_Originalprctile75 IT_MF_min > HAND_EDA_processed_geomean(abs) ECG_PSD_baseline < or IT_LF_Area HAND_EDA_Functionals_power_Filt2harmmean + IT_p_Total_baseline > and if-else IT_MF_kurtosis IT_VLF_geomean(abs) < IT_MF_kurtosis 0.5 > or -0.5 ECG_hrv_min > or if-else emotional mental neutral -0.5 0 < if-else IT_MF_kurtosis 0.5 > if-else physical ARM_EDA_Functionals_power_Originalprctile75 IT_MF_min > ECG_p_VFL_std -0.5 ^ ECG_PSD_baseline < or IT_LF_Area HAND_EDA_Functionals_power_Filt2harmmean + -0.25 < and if-else ECG_HR_min_div_median 0 < IT_MF_kurtosis IT_p_Total_baseline < -0.75 ECG_hrv_geomean(abs) > or 0.75 IT_PSD_trimmean25 > ARM_EDA_Functionals_power_Filt2min 1 < or -0.5 -1 > -0.75 IT_LF_max < and or and or if-else 
8;0.331349;0.363095;0.348214;emotional emotional 0.75 -0.5 > if-else emotional mental ECG_p_LF_baseline 0.75 > if-else ECG_RR_window_harmmean -0.25 > if-else physical ECG_hrv_mean IT_LF_mean IT_LF_MF_HF - * IT_LF_mad > if-else neutral ECG_HR_min_div_baseline IT_BR_mean ECG_RR_window_harmmean ^ < IT_MF_baseline 0.75 / -0.75 / -0.5 ARM_EDA_Functionals_power_Originalharmmean - ARM_EDA_Original_mean -1 - / > or if-else mental mental IT_Original_skewness -1 ^ ECG_amplitude_RR_median < if-else emotional IT_p_Total_harmmean 0.5 + IT_LF_prctile25 -0.5 - < -0.25 ECG_p_total_LF_mean * IT_LF_MF_HF < or if-else neutral IT_Original_skewness -1 ^ IT_PSD_harmmean -0.75 ^ / ARM_EDA_Functionals_power_Fil12harmmean ARM_EDA_Functionals_power_Fil12harmmean ECG_p_LF_trimmean25 / / -0.75 ^ > if-else ECG_p_VFL_harmmean 0.75 * 1 / IT_BRV_std > 1 -0.5 0.75 - < or 0.25 IT_LF_mad > ECG_p_VFL_std ECG_HR_min_div_kurtosis < or 1 ECG_p_total_LF_mad * IT_p_Total_max < and 0 0.75 - IT_LF_MF_HF 0.5 ECG_p_MF_geomean(abs) ^ ^ < or and if-else 
6;0.333085;0.389881;0.294643;mental emotional neutral -0.75 -0.25 < if-else ECG_RR_window_max 1 < 0.25 0.5 > or if-else neutral physical IT_RF_geomean(abs) 0.75 > if-else mental neutral 1 HAND_EDA_Filt2_mad > if-else -1 -0.75 > 0 IT_LF_trimmean25 < and if-else ARM_EDA_Functionals_power_Filt2geomean(abs) -0.5 < -1 IT_LF_skewness < and -0.5 ECG_RR_window_max > -0.25 -1 > and and if-else mental emotional HAND_EDA_Functionals_power_Fil12baseline HAND_EDA_Functionals_power_Originalprctile25 < if-else neutral IT_MF_HF 0 > if-else physical physical 0.5 0.5 < if-else physical physical ECG_RR_window_trimmean25 -1 < if-else 0.75 ECG_original_mean > 1 ARM_EDA_Original_mad > and if-else 0.5 IT_HF_LF * IT_PSD_mean < 0 IT_MF_baseline < ECG_hrv_mean ARM_EDA_processed_min < or or if-else -0.5 -0.75 < 0.5 -0.75 > and -0.5 1 > ECG_RSAindex ARM_EDA_Filt2_harmmean < and and HAND_EDA_Functionals_power_Filt2prctile75 -0.25 + -0.5 0.75 + < ECG_p_HF_kurtosis 0.25 < ECG_hrv_max 1 < or or and if-else neutral emotional ARM_EDA_Functionals_power_Filt2skewness IT_MF_trimmean25 < if-else mental ARM_EDA_cross_neg 0.75 > 0.5 -0.75 > or if-else mental neutral HAND_EDA_Original_std ECG_PSD_std > if-else mental physical 1 HAND_EDA_Original_mean < if-else IT_HF_mean ECG_RR_window_prctile25 < 0 IT_p_Total_kurtosis > and if-else 0.5 IT_LF_median * 0.25 IT_BRV_baseline - > 0.5 -0.5 > HAND_EDA_Functionals_power_Filt2std 0.75 < or and if-else mental physical -0.75 -1 < if-else neutral -0.5 -1 < if-else physical neutral neutral 1 HAND_EDA_Functionals_power_Fil12harmmean > if-else HAND_EDA_Filt1_min 0 > if-else -0.25 HAND_EDA_Functionals_power_Originalmean < 0.75 HAND_EDA_processed_max < and ECG_pNN50 ARM_EDA_Functionals_power_Filt2mean 1 * < or if-else ECG_original_median ECG_hrv_trimmean25 < HAND_EDA_Functionals_power_Originalgeomean(abs) IT_BRV_baseline > or IT_HF_kurtosis 0.75 < or ECG_p_MF_median ECG_p_HF_prctile25 < 0 -1 < or 1 IT_LF_harmmean < 0.25 0.5 < or or and if-else HAND_EDA_Filt1_mean -0.25 + 0 ^ -1 + ARM_EDA_processed_std ARM_EDA_Functionals_power_Fil12kurtosis + ARM_EDA_Functionals_power_Fil12max -0.25 * + < if-else 
