seed;training;test;validation;model
4;0.323165;0.422619;0.160714;emotional mental neutral emotional -0.5 -0.75 > 0.75 0 < or if-else IT_BRV_min 0.5 * IT_HF_TF > ECG_p_LF_skewness ECG_PSD_min < ECG_p_HF_prctile75 0 < and or if-else 1 -1 * 0.5 IT_BRV_baseline + + IT_VLF_baseline 0 0.75 - -1 0 / / - > if-else physical 0.5 -0.75 > ECG_p_VFL_mean IT_LF_Area < or ARM_EDA_Filt1_prctile75 IT_PSD_geomean(abs) < 0.75 -0.25 > or or IT_LF_trimmean25 -0.75 < or IT_PSD_baseline -0.5 - ECG_HR_min_div_prctile75 > HAND_EDA_Functionals_power_Fil12prctile75 -0.75 < HAND_EDA_Original_kurtosis -1 < or and IT_LF_std IT_MF_max < IT_LF_trimmean25 -0.75 < or or and if-else 
1;0.437748;0.574405;0.285714;neutral emotional neutral -0.5 ECG_hrv_prctile25 > HAND_EDA_processed_std IT_RF_Area > and if-else HAND_EDA_Filt1_std ECG_original_kurtosis < ARM_EDA_Functionals_power_Fil12prctile75 IT_LF_skewness > and 0.5 IT_PSD_harmmean > -0.5 HAND_EDA_Functionals_power_Fil12trimmean25 > and and if-else neutral IT_LF_median ECG_HR_min_div_trimmean25 < 0.5 -0.75 > -1 -0.5 < and and IT_RF_min IT_PSD_kurtosis ECG_p_HF_geomean(abs) ECG_PSD_geomean(abs) / ^ < or if-else mental emotional ECG_p_total_LF_geomean(abs) 0.25 - ECG_hrv_prctile75 < if-else neutral IT_RF_baseline IT_RF_baseline ^ IT_p_Total_min > if-else physical -1 1 0.25 + < ECG_HR_min_div_trimmean25 ECG_Entropyaprox < and IT_MF_baseline 0.5 > ARM_EDA_Filt2_max ECG_RR_window_geomean(abs) < or -0.25 ARM_EDA_Functionals_power_Filt2harmmean < and and if-else 0 0.75 < IT_MF_baseline IT_RF_min -0.25 * > HAND_EDA_processed_min HAND_EDA_processed_min ECG_HR_min_div_baseline * < and and if-else 
3;0.340774;0.303571;0.267857;physical neutral -0.5 ECG_PSD_prctile25 > if-else physical 0.75 IT_HF_LF > if-else neutral -0.5 -0.5 / 1 - -0.75 -0.25 ^ < if-else neutral neutral neutral -0.5 HAND_EDA_processed_geomean(abs) < if-else IT_BR_mean ECG_amplitude_RR_skewness 0.75 - < if-else mental -0.25 IT_HF_LF > ECG_HF_LF HAND_EDA_Filt2_skewness / IT_RF_prctile25 < or if-else physical neutral 0.25 ECG_PSD_prctile25 > if-else physical IT_BR_mean -0.75 < if-else mental emotional 0.75 ECG_RR_window_prctile75 - -0.5 0.25 + > if-else IT_LF_trimmean25 0.5 > ECG_hrv_trimmean25 IT_LF_prctile75 ECG_RR_window_baseline * > or if-else -1 ARM_EDA_processed_baseline 1 * * 1 > if-else -0.5 IT_HF_LF > 0 IT_LF_kurtosis * -1 ECG_IE HAND_EDA_Functionals_power_Fil12baseline ^ + > 0 IT_HF_LF > or and if-else 
2;0.295139;0.494048;0.214286;physical emotional emotional neutral IT_HF_kurtosis ARM_EDA_Functionals_power_Originalmean > if-else ECG_original_geomean(abs) 0 > 0.75 ECG_p_MF_max < and IT_RF_prctile25 0.5 > 1 1 > and or if-else ECG_hrv_mean 0.75 > if-else emotional physical -1 -1 < if-else neutral ARM_EDA_Functionals_power_Originalmean ARM_EDA_Functionals_power_Filt2baseline < if-else neutral ARM_EDA_Original_skewness 0 < IT_BRV_skewness ECG_original_trimmean25 > or 0.25 IT_MF_baseline > and if-else neutral mental neutral IT_HF_kurtosis 0.25 > if-else HAND_EDA_Functionals_power_Filt2prctile75 -0.5 < ECG_RR_window_median ECG_p_LF_harmmean > and if-else neutral emotional -0.75 IT_RF_min < -0.25 -0.5 < and if-else ECG_hrv_max 0 < -0.75 1 < or IT_BR_mean -0.5 < or if-else 0.25 0 < HAND_EDA_Filt1_prctile75 HAND_EDA_Original_baseline < -1 ECG_p_LF_mean > or and IT_HF_TF ECG_amplitude_RR_max < and if-else IT_BRV_baseline IT_MF_baseline > 0.5 1 / 0.5 1 / IT_BR_mean * < or if-else 
5;0.34127;0.315476;0.160714;physical neutral -0.25 IT_HF_prctile75 > if-else emotional emotional IT_BRV_mean ECG_p_MF_mad > if-else -0.75 -0.5 < if-else neutral neutral 0.5 -0.5 < if-else neutral -0.5 IT_LF_min > -1 ECG_hrv_baseline > or if-else 0.25 0.75 ECG_p_LF_prctile25 / < -0.5 -0.75 -0.5 - > and if-else mental physical IT_RF_prctile75 IT_PSD_baseline < if-else emotional mental ECG_HR_min_div_geomean(abs) -1 < IT_HF_TF ECG_hrv_prctile25 > and if-else ECG_M IT_BR_mean IT_PSD_skewness * 0.5 - < if-else -0.5 IT_PSD_skewness IT_VLF_max - -1 * < if-else mental emotional 0.75 ECG_amplitude_RR_kurtosis < if-else neutral physical 1 0 < if-else HAND_EDA_Functionals_power_Filt2std IT_PSD_baseline < if-else physical ARM_EDA_Functionals_power_Fil12mean -0.25 > HAND_EDA_Functionals_power_Originalmad -0.25 > or if-else physical ECG_amplitude_RR_median -0.25 < -0.75 -0.25 < and HAND_EDA_Functionals_power_Filt2std -0.75 < or HAND_EDA_Functionals_power_Originalmad IT_LF_max * -0.25 > or if-else IT_LF_baseline HAND_EDA_Filt2_trimmean25 0.5 * HAND_EDA_Original_harmmean * ECG_M / < ARM_EDA_Functionals_power_Fil12harmmean 0 < IT_PSD_kurtosis HAND_EDA_processed_geomean(abs) < -0.5 IT_LF_mean < and or -0.25 IT_Original_prctile25 -1 * < ARM_EDA_Functionals_power_Fil12harmmean -0.5 < or and or if-else 
8;0.28125;0.318452;0.160714;physical emotional neutral 0.5 HAND_EDA_Functionals_power_Originalmedian > if-else physical emotional ECG_p_MF_baseline IT_p_Total_std < if-else IT_MF_min HAND_EDA_processed_mean ^ -1 IT_Original_trimmean25 - > if-else -1 ARM_EDA_processed_prctile25 > -0.5 IT_VLF_prctile75 > or ECG_original_skewness IT_BR_mean < -0.5 0.25 < and or if-else physical 0.5 HAND_EDA_Functionals_power_Fil12median > -0.75 ECG_p_MF_std < 1 ECG_A2_DFA < or 0.75 ECG_p_MF_prctile25 < and or if-else mental neutral neutral emotional 0.25 IT_PSD_skewness > if-else -0.5 -1 < if-else IT_LF_prctile25 ECG_hrv_median * IT_PSD_skewness < ECG_hrv_median -0.5 > ECG_hrv_median ECG_RR_window_mad > or and if-else ECG_hrv_median IT_Original_prctile75 ECG_hrv_median * > IT_PSD_skewness 0 > and 0 ECG_hrv_median > -0.5 ECG_hrv_median ECG_hrv_median * > and or if-else 
7;0.43874;0.431548;0.0892857;physical mental -0.75 HAND_EDA_Original_trimmean25 0 - < if-else neutral physical 0.25 0.75 > if-else neutral -0.75 -0.75 < 0.25 -1 < and if-else -0.5 IT_CCV_LF > if-else neutral mental IT_MF_HF IT_HF_median < if-else emotional emotional 0.25 0 < if-else mental HAND_EDA_Functionals_power_Originalgeomean(abs) HAND_EDA_processed_std < ECG_original_min -1 > or if-else IT_BRV_baseline IT_PSD_baseline < IT_p_Total_kurtosis -0.75 / HAND_EDA_processed_baseline < or if-else ECG_HR_min_div_median ECG_HR_min_div_median * HAND_EDA_Original_mean * -0.75 IT_BRV_median - 0.75 - < if-else physical mental physical 0 IT_RF_Area > if-else -0.75 IT_BRV_median - 0.75 - 0 < if-else IT_LF_mad ECG_hrv_trimmean25 * 0.25 / HAND_EDA_Functionals_power_Fil12geomean(abs) > if-else 
10;0.393105;0.357143;0.151786;mental physical emotional ECG_HR_min_div_median ARM_EDA_processed_prctile75 IT_p_Total_max * > if-else -0.75 IT_LF_Area > if-else mental emotional -0.75 -0.25 -0.5 / < if-else ECG_hrv_geomean(abs) 1 * 0.5 HAND_EDA_Filt2_geomean(abs) - > IT_MF_HF -0.25 > -1 ECG_HR_min_div_prctile25 > -1 ECG_HR_min_div_mean > or and or if-else neutral -0.5 -0.5 ^ IT_BRV_skewness / HAND_EDA_Functionals_power_Filt2prctile75 < IT_MF_HF -0.25 > or IT_LF_Area IT_Original_skewness / IT_Original_skewness ECG_original_mean 0.25 ^ * > IT_BRV_mad -0.25 < HAND_EDA_Filt1_mean 0.75 > 0.25 ECG_p_MF_baseline < and or or and if-else 
6;0.345486;0.285714;0.258929;physical physical neutral 0.75 0.25 < ECG_p_HF_trimmean25 0 < and IT_LF_geomean(abs) -0.25 HAND_EDA_Functionals_power_Originalprctile75 - < and if-else -1 IT_LF_min ARM_EDA_Functionals_power_Fil12kurtosis ^ - -0.75 ECG_RR_window_prctile25 - ^ 0.5 > if-else neutral emotional mental ARM_EDA_cross_neg ARM_EDA_processed_prctile75 < if-else mental ARM_EDA_Filt1_harmmean ECG_RR_window_median < 0 HAND_EDA_Functionals_power_Fil12median > or if-else -0.75 -0.75 < IT_BRV_kurtosis ECG_p_LF_min -0.5 - > or if-else physical -1 -1 ECG_RR_window_prctile25 - * IT_LF_harmmean > -0.25 -0.25 < IT_Original_mean -0.5 < ECG_hrv_mean 0.25 < or or and if-else -1 IT_MF_HF - -1 > if-else 
9;0.258929;0.3125;0.241071;emotional neutral -1 IT_Original_mad > if-else emotional 0.75 IT_HF_baseline < 0.75 0.5 > or if-else neutral IT_PSD_median 1 < -0.75 IT_Original_min < ARM_EDA_Functionals_power_Fil12skewness ECG_RR_window_kurtosis > or or if-else emotional mental neutral -0.25 -0.75 > if-else ECG_p_total_LF_max IT_p_Total_prctile25 > if-else emotional 0.5 ECG_RR_window_mad - ECG_hrv_geomean(abs) * ECG_hrv_median < if-else -0.25 IT_HF_TF - 0 < if-else emotional mental mental -0.75 0 < if-else neutral physical 0.5 IT_RF_mean < if-else HAND_EDA_processed_max IT_BRV_skewness / 0.5 > if-else 0.25 0 < HAND_EDA_Functionals_power_Originalskewness 0 < or if-else mental physical IT_RF_baseline IT_HF_TF < 0.5 -1 > and if-else HAND_EDA_Functionals_power_Fil12median IT_LF_median -1 + 1 ARM_EDA_Functionals_power_Fil12trimmean25 + / > -1 ECG_hrv_median - -0.25 HAND_EDA_n_ocu - > and if-else 0.5 IT_VLF_mean < HAND_EDA_processed_baseline IT_PSD_prctile75 - IT_PSD_median < or ECG_hrv_geomean(abs) 0.5 ECG_RR_window_median * < or if-else 
