seed;training;test;validation;model
4;0.353423;0.404762;0.267857;neutral mental 0.25 IT_MF_prctile25 < if-else mental HAND_EDA_processed_min 0.25 > if-else emotional ARM_EDA_Functionals_power_Fil12min 0.25 < -1 IT_VLF_prctile75 ^ ARM_EDA_Functionals_power_Filt2baseline < or if-else physical neutral IT_LF_MF_HF IT_BRV_baseline + IT_VLF_baseline IT_p_Total_prctile75 + > if-else 0.25 ECG_RR_window_kurtosis -0.5 * ^ IT_LF_MF_HF IT_BRV_baseline ^ * ECG_p_VFL_prctile75 1 HAND_EDA_Filt2_geomean(abs) + * > if-else physical HAND_EDA_Original_mad ECG_RR_window_kurtosis -0.5 IT_PSD_mad ^ * < ECG_hrv_prctile75 IT_PSD_mad < ECG_original_median -0.75 > and ARM_EDA_Functionals_power_Fil12min IT_VLF_baseline < or or if-else 
5;0.388889;0.532738;0.223214;physical physical neutral 0.75 ARM_EDA_Filt2_kurtosis > 0 ARM_EDA_cross_neg < and 0.5 0 < and if-else neutral physical emotional 0 ECG_p_HF_median < if-else emotional mental ECG_hrv_min IT_HF_min > if-else ECG_original_prctile75 ARM_EDA_processed_median + 0.75 > if-else IT_VLF_median -1 IT_HF_geomean(abs) * > IT_PSD_skewness 0.25 < or if-else ECG_PSD_trimmean25 ARM_EDA_Functionals_power_Originalmedian - ECG_PSD_median > ARM_EDA_Functionals_power_Fil12skewness 0.75 / -0.75 < or -0.75 IT_BRV_trimmean25 -0.75 IT_HF_harmmean - - > and if-else -0.5 IT_VLF_baseline -0.25 - ECG_hrv_mean - > if-else 
2;0.348462;0.514881;0.1875;physical neutral neutral neutral ARM_EDA_Filt1_prctile25 ECG_p_VFL_harmmean < 0.5 -0.5 < or if-else 0.75 IT_LF_HF > -0.5 0 > or 0.75 ARM_EDA_processed_prctile25 > 0.75 -0.5 > or or if-else emotional emotional IT_BRV_skewness ECG_hrv_mean < if-else mental emotional 0.5 IT_p_Total_prctile75 > if-else ARM_EDA_Functionals_power_Filt2geomean(abs) 0 * ARM_EDA_processed_min > if-else neutral 0.25 0.75 0 -0.5 + / > if-else 0 0.25 < ECG_original_prctile25 1 < or 1 0.25 > or IT_BRV_std ECG_p_MF_mad > IT_HF_LF 0.25 < or and if-else ECG_hrv_mean IT_VLF_harmmean ECG_original_prctile75 - - 0.25 > if-else 
3;0.31126;0.380952;0.276786;neutral neutral mental neutral -0.25 -0.75 < if-else HAND_EDA_Filt1_prctile25 0.25 * -0.25 ARM_EDA_Filt1_median * > if-else IT_HF_LF HAND_EDA_Filt2_prctile75 HAND_EDA_Filt2_mad / 0.5 ECG_hrv_prctile25 / - > if-else physical IT_HF_LF IT_LF_mad < ECG_pNN50 ECG_RR_window_geomean(abs) < HAND_EDA_Functionals_power_Originalprctile75 ARM_EDA_Functionals_power_Fil12geomean(abs) > and and IT_HF_LF IT_VLF_median < or if-else emotional emotional mental ARM_EDA_Original_prctile75 HAND_EDA_processed_mad > if-else mental HAND_EDA_Original_prctile75 ECG_RR_window_max - IT_PSD_max < if-else neutral 0.5 IT_BRV_min / ECG_hrv_min > IT_BRV_mad IT_LF_min < or if-else ECG_hrv_min ECG_HR_min_div_trimmean25 ECG_hrv_min - - 0.75 0 - ECG_RR_window_median / < if-else HAND_EDA_Filt1_kurtosis 1 -0.75 - < ECG_original_mean ARM_EDA_processed_median < and 0 0.25 > 0 0 > and 0.5 1 ^ 0.75 -1 * < and and 0.75 -0.25 ECG_original_mad - ECG_HR_min_div_trimmean25 0.5 - - IT_HF_LF + > or if-else 
1;0.406994;0.440476;0.267857;physical physical 0 HAND_EDA_area < if-else mental mental IT_PSD_trimmean25 0.5 < if-else 0.75 -0.25 / IT_LF_mad < if-else mental 0 0.25 < HAND_EDA_Original_prctile75 IT_LF_MF_HF < or 0.25 ECG_hrv_prctile25 < 0 0.25 < and and if-else neutral neutral neutral 0.75 ECG_p_LF_kurtosis > if-else physical 0.5 IT_MF_baseline < ARM_EDA_Functionals_power_Fil12prctile75 HAND_EDA_processed_median < and if-else 0.75 IT_PSD_kurtosis / 0 < if-else IT_BRV_trimmean25 -1 - ARM_EDA_Filt1_harmmean * ECG_RR_window_prctile25 ECG_PSD_min - < if-else neutral emotional mental IT_MF_baseline IT_HF_LF 0 ^ < if-else 0.75 IT_PSD_kurtosis * 0.25 < if-else neutral mental neutral ECG_hrv_prctile25 -1 > if-else -0.25 ECG_amplitude_RR_harmmean > if-else neutral emotional -0.75 HAND_EDA_Filt2_kurtosis > if-else physical -1 IT_LF_max < if-else -0.5 1 > IT_BRV_max -0.75 > or ARM_EDA_Filt1_mean ARM_EDA_Functionals_power_Filt2max * 0.75 < or if-else 1 IT_MF_prctile25 > if-else IT_p_Total_baseline -0.75 ARM_EDA_Functionals_power_Filt2std 1 + ECG_p_total_LF_min ECG_hrv_mad + + ECG_HR_min_div_trimmean25 * + < if-else 
6;0.344494;0.47619;0.232143;physical mental ECG_hrv_mean -0.75 0 - ECG_original_mad * > if-else emotional neutral IT_BRV_prctile25 1 < if-else mental IT_RF_prctile75 -0.5 > ECG_HF_LF HAND_EDA_Functionals_power_Filt2mad < and IT_LF_min HAND_EDA_Original_mad < HAND_EDA_Functionals_power_Originalskewness ECG_EI < or or if-else ECG_hrv_mean -0.5 > if-else neutral neutral -0.5 0 ^ -1 < ECG_A1_DFA 1 < -0.25 ECG_PSD_geomean(abs) > and or -0.25 1 HAND_EDA_Functionals_power_Originalharmmean ^ > or if-else IT_HF_kurtosis 0 > if-else 
7;0.290179;0.443452;0.205357;mental emotional emotional -0.5 -0.5 < if-else ECG_PSD_median ARM_EDA_Filt2_max + 0 < if-else emotional mental -0.5 ECG_hrv_median > if-else 0 IT_LF_std < if-else neutral neutral ARM_EDA_Filt1_baseline 0 0.5 / > 1 -0.75 > IT_p_Total_std 0 > or or if-else -0.25 IT_PSD_kurtosis IT_p_Total_baseline ^ IT_Original_prctile75 + < if-else physical ECG_hrv_median 0 < -0.5 -0.5 / IT_BRV_baseline 0.25 + > HAND_EDA_Functionals_power_Originalskewness 0.25 - 0.5 > -0.25 0.75 < 0.75 -0.25 > or and and or if-else 
8;0.281746;0.360119;0.196429;neutral emotional IT_LF_trimmean25 IT_MF_baseline < if-else mental physical ECG_RR_window_mean -1 > if-else IT_LF_median 0.5 ECG_PSD_baseline * < if-else physical -0.25 IT_PSD_kurtosis + -1 * ECG_p_LF_kurtosis > if-else neutral mental emotional HAND_EDA_processed_baseline IT_p_Total_baseline < if-else mental emotional ECG_hrv_trimmean25 -0.5 > if-else IT_BRV_mean ECG_amplitude_RR_prctile75 -0.25 + < if-else 0.25 IT_HF_LF > if-else physical emotional physical ECG_PSD_baseline 0 ECG_HR_min_div_mean + < if-else ECG_RR_window_mean HAND_EDA_Filt1_geomean(abs) > if-else 1 ECG_hrv_baseline * IT_p_Total_kurtosis < ECG_p_LF_prctile25 IT_Original_Area < -0.75 IT_VLF_geomean(abs) > and or IT_Original_mean 0.75 < IT_MF_HF ECG_HR_min_div_trimmean25 < or ARM_EDA_Original_max IT_p_Total_prctile75 < -0.75 HAND_EDA_Original_geomean(abs) < and or or if-else ECG_hrv_trimmean25 ECG_original_prctile75 0.25 + -0.25 -0.25 + * > ECG_original_prctile75 IT_MF_HF + 0 0.25 - -0.25 + * 0.5 < and if-else 
10;0.323909;0.404762;0.205357;neutral physical neutral IT_MF_geomean(abs) ECG_PSD_std < -0.25 IT_LF_harmmean < -0.75 ECG_hrv_harmmean > or or if-else ECG_RR_window_kurtosis 0.75 > 1 0.75 < and ECG_p_MF_baseline 0.75 < 0.25 IT_PSD_skewness > or or -0.25 ECG_PSD_max + 0.25 ECG_p_MF_kurtosis + > or if-else emotional emotional physical ECG_original_skewness 0.5 > -0.75 HAND_EDA_Filt2_trimmean25 < and if-else mental ECG_hrv_max 0 > IT_VLF_baseline HAND_EDA_processed_max < and 0.75 ECG_RR_window_trimmean25 < or if-else IT_LF_geomean(abs) HAND_EDA_processed_prctile25 + IT_PSD_mad - ECG_HR_min_div_trimmean25 > if-else -0.25 IT_HF_kurtosis HAND_EDA_Functionals_power_Filt2max - > ECG_RR_window_trimmean25 IT_VLF_min < or -0.25 IT_HF_LF > ECG_RR_window_trimmean25 -0.75 < or or HAND_EDA_Filt2_prctile25 IT_Original_Area HAND_EDA_Functionals_power_Originalprctile75 + * IT_PSD_geomean(abs) < 1 0 < IT_LF_MF_HF 0 < 0.75 -0.75 > and or or and if-else 
9;0.278522;0.354167;0.1875;neutral emotional ECG_p_HF_baseline ARM_EDA_Functionals_power_Fil12baseline < ECG_HR_min_div_trimmean25 ECG_p_total_LF_baseline < and if-else emotional neutral neutral IT_LF_prctile25 0.25 > if-else mental ECG_p_total_LF_mad ECG_p_LF_mad IT_HF_prctile25 + < if-else ARM_EDA_Filt1_prctile25 HAND_EDA_processed_skewness < if-else IT_PSD_median -0.25 < 0 -0.5 > and 0.5 0 < ARM_EDA_Functionals_power_Fil12max HAND_EDA_Filt2_prctile75 < or and -1 IT_PSD_mad > IT_LF_kurtosis HAND_EDA_Functionals_power_Originalstd < or -0.75 -0.25 > ECG_EI ARM_EDA_Filt1_max < and or and if-else physical mental mental ECG_p_HF_geomean(abs) HAND_EDA_processed_baseline > if-else HAND_EDA_Functionals_power_Originalmean 0.5 > ECG_p_total_LF_median 0 < or if-else emotional neutral 0 1 > if-else physical emotional ECG_hrv_prctile75 IT_p_Total_prctile75 > if-else 0.75 ARM_EDA_Functionals_power_Originalgeomean(abs) > IT_PSD_baseline IT_HF_kurtosis > and if-else -0.75 IT_LF_std > 1 IT_MF_median < and HAND_EDA_Original_baseline -0.25 < IT_HF_geomean(abs) 0.5 > or and if-else neutral mental physical 1 -0.75 > if-else mental neutral -0.25 -0.25 > if-else IT_BRV_min IT_LF_geomean(abs) > 1 IT_MF_trimmean25 > or if-else IT_PSD_kurtosis IT_p_Total_median 0.25 + < if-else ECG_amplitude_RR_mad IT_PSD_baseline > -1 ECG_HR_min_div_harmmean > or ECG_p_HF_baseline ARM_EDA_Functionals_power_Fil12baseline < ECG_HR_min_div_trimmean25 ECG_p_total_LF_baseline < and or if-else HAND_EDA_Filt1_max -0.5 < HAND_EDA_Original_harmmean -0.75 > and 0 IT_PSD_baseline < or -0.25 ECG_original_std > ARM_EDA_Functionals_power_Originalmedian 0 > and and 0 ECG_p_LF_min > 0.25 -0.5 > and ARM_EDA_Functionals_power_Originalkurtosis ECG_M > IT_MF_kurtosis 0 < or or HAND_EDA_Functionals_power_Filt2skewness 0 < IT_HF_harmmean 0.25 < and ECG_amplitude_RR_mad IT_PSD_baseline > and or and if-else 
