seed;training;test;validation;model
4;0.334821;0.318452;0.25;neutral physical IT_LF_std IT_MF_prctile75 < if-else emotional neutral mental HAND_EDA_Functionals_power_Filt2mean IT_BR_mean < ECG_p_HF_mean ECG_NN50 > or if-else physical neutral 0 -1 < if-else mental 0.75 IT_PSD_harmmean > 1 0.25 < and if-else ECG_Logstd 0.75 > HAND_EDA_Filt2_mad HAND_EDA_Filt1_baseline < and if-else ECG_HR_min_div_median ECG_p_VFL_mad IT_LF_std - - IT_Original_median < if-else HAND_EDA_Filt1_baseline HAND_EDA_cross_pos 0 ^ - HAND_EDA_Filt1_prctile25 > IT_LF_mean IT_HF_skewness > or -0.25 IT_LF_min -0.75 / > -0.25 HAND_EDA_Original_std > IT_LF_baseline -0.75 > or or 0.75 ECG_hrv_prctile75 -0.75 - < and or if-else 
2;0.30506;0.401786;0.25;physical physical emotional ECG_hrv_mean 0.25 > if-else HAND_EDA_Functionals_power_Originalbaseline IT_BRV_max < ECG_p_VFL_prctile75 0.25 > and IT_LF_baseline ECG_original_mean < ARM_EDA_Functionals_power_Fil12prctile25 0.75 > or and if-else physical ECG_p_VFL_mad 0 * HAND_EDA_Functionals_power_Filt2trimmean25 * 0 ^ IT_LF_baseline > if-else mental physical neutral -0.75 0.5 > -0.25 HAND_EDA_Functionals_power_Originalbaseline < and IT_BRV_kurtosis ARM_EDA_Functionals_power_Fil12trimmean25 > ECG_HR_min_div_mad -0.75 < or and if-else 0 IT_HF_TF ^ -0.25 0 * ECG_RMSSDD / / 0.75 0 ^ -0.75 IT_VLF_median + IT_Original_kurtosis + - > if-else 0.25 ECG_hrv_mean ^ IT_HF_TF -0.5 * / IT_Original_max > IT_MF_baseline IT_RF_Area 1 0.25 ^ 0 + / < and if-else 
5;0.280258;0.119048;0.151786;physical mental emotional mental ECG_hrv_prctile25 IT_BRV_std < if-else -0.75 -0.5 < ECG_p_LF_baseline -0.75 < and if-else mental neutral emotional ARM_EDA_Filt2_median ECG_original_mad > if-else ECG_hrv_median 0.75 < if-else -0.25 IT_PSD_skewness 0.75 + < ARM_EDA_processed_std 1 < and if-else neutral mental neutral 1 ECG_RMSSDD < if-else neutral neutral ECG_p_VFL_kurtosis ARM_EDA_Filt1_prctile25 < if-else -0.5 0.75 + 1 < if-else ECG_HR_min_div_max 0.75 < ARM_EDA_Functionals_power_Originalgeomean(abs) 0 > or ARM_EDA_Functionals_power_Filt2harmmean 0.5 > ECG_IE 0 < or or if-else HAND_EDA_Functionals_power_Filt2kurtosis ARM_EDA_Functionals_power_Fil12mean -0.75 - > -0.75 ARM_EDA_Functionals_power_Fil12trimmean25 > or IT_LF_MF_HF -0.25 / IT_PSD_std + IT_BRV_mean 0.5 - < or if-else ARM_EDA_Functionals_power_Fil12trimmean25 IT_VLF_harmmean - ECG_hrv_median + -0.5 ECG_p_VFL_baseline * + -0.5 ECG_original_std * -0.5 - > if-else 
3;0.358631;0.303571;0.25;neutral emotional emotional 0.5 0 < if-else mental neutral 0.75 -0.25 < if-else neutral ECG_hrv_prctile75 -0.25 + 0.75 < if-else -1 0.5 * ARM_EDA_Filt1_harmmean 0.5 - > if-else 0.25 IT_RF_harmmean ECG_p_LF_mean / * HAND_EDA_Functionals_power_Filt2skewness < 0.25 HAND_EDA_area * HAND_EDA_Functionals_power_Filt2skewness < and if-else physical mental emotional 0.5 -1 < if-else emotional emotional 0.5 0 < if-else ARM_EDA_Original_min IT_RF_max < IT_Original_trimmean25 IT_BRV_prctile25 < and if-else -0.25 IT_PSD_max * 1 IT_RF_baseline + < if-else emotional physical IT_Original_max 1 > if-else mental -0.25 IT_BRV_mad < if-else physical mental ECG_amplitude_RR_baseline ECG_hrv_median > if-else neutral emotional -0.25 IT_BRV_mad < if-else HAND_EDA_Functionals_power_Filt2min ARM_EDA_Original_max > 0 IT_BRV_geomean(abs) < and if-else ECG_p_HF_skewness 0.25 / ECG_HF_LF ARM_EDA_Original_mad ^ -1 HAND_EDA_Functionals_power_Originalprctile25 + / < if-else IT_LF_prctile25 ECG_RR_window_prctile25 0.25 ECG_original_prctile75 ^ + > 0.75 IT_p_Total_baseline > 0.25 ECG_hrv_mean < and 0.5 0 ^ 0.5 ECG_PSD_prctile75 * > and or if-else ECG_p_LF_kurtosis IT_MF_kurtosis > if-else 
1;0.323909;0.377976;0.25;neutral neutral 0.75 -0.25 > if-else mental mental IT_MF_prctile25 0.5 > if-else 1 HAND_EDA_Filt1_std < -1 ECG_p_HF_min < and if-else emotional physical mental ECG_p_LF_prctile25 HAND_EDA_Functionals_power_Originalgeomean(abs) > if-else HAND_EDA_Functionals_power_Fil12baseline -0.5 > if-else IT_VLF_baseline IT_PSD_geomean(abs) ECG_PSD_baseline HAND_EDA_Filt2_prctile25 + * > if-else neutral physical IT_LF_geomean(abs) ECG_hrv_max > if-else neutral -0.25 ARM_EDA_processed_baseline - 0 < if-else IT_MF_HF IT_HF_kurtosis -0.75 * - -0.5 ARM_EDA_processed_baseline - > if-else emotional emotional mental emotional ECG_IE ARM_EDA_Filt2_std > if-else HAND_EDA_Functionals_power_Fil12median -0.5 ^ 0.75 < if-else IT_VLF_baseline 1 > ECG_HR_min_div_mad IT_VLF_baseline > or if-else emotional physical 0.75 -0.5 < if-else neutral IT_HF_kurtosis 0 > if-else ARM_EDA_Functionals_power_Originalprctile75 HAND_EDA_Functionals_power_Originalprctile75 0.25 - + IT_MF_HF -1 * > IT_LF_geomean(abs) ECG_hrv_max > and if-else ECG_original_baseline -1 / ECG_HR_min_div_median > IT_LF_geomean(abs) IT_LF_geomean(abs) < or IT_LF_median IT_p_Total_baseline < or IT_LF_median IT_p_Total_baseline < or if-else 
7;0.34871;0.330357;0.276786;neutral mental ARM_EDA_Functionals_power_Originalprctile75 -0.5 < if-else emotional mental IT_RF_std HAND_EDA_Functionals_power_Originalmax > if-else 0.5 HAND_EDA_Functionals_power_Originalprctile25 ^ ECG_DBD > if-else emotional emotional 0.25 ECG_hrv_prctile25 < if-else mental physical 0.75 -0.25 > if-else IT_LF_trimmean25 -0.25 ^ IT_HF_trimmean25 > if-else IT_BRV_min -0.75 < if-else neutral -0.75 IT_MF_HF < if-else emotional neutral emotional -0.25 -0.5 < if-else mental 0 -0.75 < 0 HAND_EDA_Original_geomean(abs) < and if-else ECG_HR_min_div_trimmean25 -1 < if-else physical IT_HF_mad ECG_hrv_prctile75 > if-else IT_MF_HF IT_LF_baseline -0.75 / -0.5 - < if-else 
8;0.272569;0.264881;0.276786;physical emotional 0.5 IT_Original_mad < if-else mental ECG_p_total_LF_mean ECG_hrv_prctile25 > if-else physical ECG_original_prctile75 1 - ECG_RR_window_geomean(abs) < if-else physical mental 0.25 -0.75 > if-else HAND_EDA_Functionals_power_Fil12max IT_Original_baseline -0.25 / -0.25 + < ECG_hrv_prctile25 0.25 < or if-else emotional neutral neutral neutral ARM_EDA_Functionals_power_Fil12mean IT_HF_trimmean25 > if-else mental IT_MF_baseline -0.75 > if-else ECG_RR_window_max IT_Original_std + 1 < if-else IT_PSD_harmmean -0.5 - 0.5 1 + ^ 0.75 - -0.75 < if-else IT_LF_MF_HF IT_Original_baseline -0.25 / > 0.75 0.75 > or 0 ECG_p_total_LF_kurtosis * -1 * IT_Original_baseline -0.25 / > -1 ARM_EDA_Original_prctile25 -0.75 - < ARM_EDA_area ECG_pNN50 < and or and if-else 
10;0.423115;0.410714;0.241071;neutral mental ECG_PSD_min 0 ECG_hrv_median + > if-else neutral 0.5 IT_LF_mad < IT_HF_TF -0.25 < or if-else physical 0.75 ECG_p_LF_geomean(abs) ^ 0 + ARM_EDA_Filt2_std > ECG_HR_min_div_baseline HAND_EDA_processed_skewness < HAND_EDA_Filt1_kurtosis 0.25 < -0.25 0.5 > and and or if-else emotional mental mental IT_BRV_prctile75 ARM_EDA_Filt2_mean < if-else ECG_p_MF_baseline HAND_EDA_Original_mad < 0.25 HAND_EDA_Filt2_max > or if-else physical IT_LF_mad IT_PSD_std < 0.25 0.75 * 0.5 0.75 - > and if-else neutral emotional HAND_EDA_Original_prctile25 ECG_amplitude_RR_max < IT_PSD_std IT_Original_Area > or if-else IT_VLF_min ECG_amplitude_RR_max < IT_VLF_min IT_LF_mad < or if-else IT_Original_Area 0 < 0.5 ECG_hrv_mean > and ECG_PSD_min 0 > ECG_p_MF_max -0.75 < ECG_p_VFL_std ECG_original_mad < and or IT_Original_Area 0 < 0.5 0 > and or and if-else 
9;0.276786;0.208333;0.25;mental physical neutral -1 ECG_amplitude_RR_kurtosis > if-else IT_MF_trimmean25 0.5 HAND_EDA_Original_prctile25 + < if-else emotional emotional IT_LF_prctile75 ARM_EDA_Filt2_median > if-else 0.5 -0.75 < ECG_p_VFL_max 0 > and IT_Original_mad IT_VLF_kurtosis < -1 0 > or or if-else physical IT_HF_baseline HAND_EDA_Functionals_power_Originaltrimmean25 ^ IT_HF_TF -0.25 * ^ 0.25 - ECG_HR_min_div_prctile75 > if-else mental emotional 0.5 0.5 > ECG_amplitude_RR_geomean(abs) ECG_IE < and if-else physical IT_PSD_prctile75 ECG_HR_min_div_prctile75 > IT_LF_baseline -1 ^ ARM_EDA_Filt2_median < or if-else neutral emotional mental ECG_PSD_max ECG_hrv_prctile25 > if-else 0.25 IT_MF_skewness > IT_LF_baseline 0 < or if-else physical emotional neutral -0.25 IT_HF_max < if-else 0 ARM_EDA_Functionals_power_Originaltrimmean25 > 1 -0.5 > or if-else 0 ARM_EDA_Functionals_power_Originalprctile25 > ECG_HR_min_div_prctile75 0.75 -0.25 - < or if-else IT_Original_Area 0 0.5 / IT_HF_kurtosis ^ > if-else IT_HF_kurtosis 0 ECG_hrv_median ^ > if-else 
6;0.334821;0.330357;0.285714;emotional neutral mental IT_VLF_mad IT_LF_trimmean25 > if-else mental -1 -1 < ARM_EDA_Filt1_prctile75 HAND_EDA_Filt2_prctile75 > or if-else ARM_EDA_Functionals_power_Fil12baseline -0.75 < HAND_EDA_Functionals_power_Filt2prctile75 ARM_EDA_Functionals_power_Originalprctile25 < and if-else physical neutral neutral IT_MF_min 1 > if-else HAND_EDA_processed_mean IT_PSD_min > 0.25 -0.75 < or if-else neutral mental -0.5 1 < if-else neutral HAND_EDA_processed_prctile25 IT_PSD_baseline > if-else ARM_EDA_Filt2_std ARM_EDA_Filt2_std < 0.75 0.25 > -0.5 ECG_p_HF_min > and and if-else -0.5 -0.25 > -0.75 0.5 < or 0.5 ECG_hrv_median < 1 ARM_EDA_Functionals_power_Originalkurtosis < and and 0 ARM_EDA_Filt1_kurtosis < and if-else physical emotional emotional mental HAND_EDA_processed_prctile25 -0.75 > if-else neutral IT_LF_MF_HF IT_p_Total_max > if-else 0.5 HAND_EDA_cross_neg ^ 0.5 < if-else IT_LF_baseline 0.25 / -0.25 HAND_EDA_Functionals_power_Filt2max - > ARM_EDA_Functionals_power_Fil12baseline -0.75 < or ECG_M -0.25 < ECG_original_baseline 0.5 > IT_PSD_median 0.25 > or or and if-else 0.5 -1 ^ IT_Original_geomean(abs) 0.5 HAND_EDA_Functionals_power_Filt2geomean(abs) + * > ARM_EDA_Functionals_power_Fil12max IT_VLF_max < and ECG_M 1 / HAND_EDA_Functionals_power_Fil12prctile75 > 0.25 HAND_EDA_cross_neg ^ IT_LF_baseline IT_HF_mean / < and or if-else 
