seed;training;test;validation;model
4;0.298611;0.354167;0.276786;neutral physical mental emotional -0.5 ARM_EDA_processed_trimmean25 > if-else mental -0.75 ECG_RMSSDD - ECG_hrv_geomean(abs) < if-else neutral emotional -0.25 ECG_amplitude_RR_median < if-else mental HAND_EDA_Functionals_power_Filt2mad ECG_original_kurtosis + ARM_EDA_Original_baseline > if-else HAND_EDA_Filt1_prctile25 -0.25 < IT_RF_Area ARM_EDA_Functionals_power_Filt2mean > or if-else -1 1 * ECG_hrv_mean * ARM_EDA_Functionals_power_Filt2min IT_RF_prctile75 + < IT_LF_std IT_PSD_min > -0.5 ARM_EDA_Functionals_power_Fil12harmmean > or 0.5 0.5 ^ 0.5 < or and if-else IT_MF_skewness 0.5 0.75 -0.5 0.75 + - * < if-else 
3;0.330109;0.473214;0.303571;physical neutral neutral 1 0.25 > if-else IT_p_Total_prctile75 0 < IT_LF_min -0.75 < and if-else neutral physical ECG_amplitude_RR_std IT_LF_geomean(abs) < if-else emotional mental ECG_hrv_median -0.5 < if-else IT_p_Total_std IT_MF_prctile75 > if-else IT_BRV_harmmean -0.25 < 1 0.75 > and 0.25 1 > HAND_EDA_Functionals_power_Originalmad HAND_EDA_cross_pos < or and if-else mental physical neutral -1 -1 > ARM_EDA_Functionals_power_Fil12max IT_VLF_baseline > and if-else ECG_DBD -0.25 < IT_p_Total_geomean(abs) HAND_EDA_processed_std < and -0.5 0 < -0.75 IT_LF_trimmean25 > and or if-else IT_RF_min -0.25 - ECG_hrv_mean 0 - > if-else physical neutral neutral 0.5 ARM_EDA_processed_max > if-else ECG_p_total_LF_baseline ECG_p_HF_std < ARM_EDA_processed_max 1 < and if-else mental physical HAND_EDA_amp_scr IT_p_Total_baseline < if-else physical IT_HF_min 0.75 > if-else physical 0 0.25 < if-else 0.25 IT_HF_skewness > -0.75 -1 IT_BRV_median ^ < -0.25 IT_Original_mad < or and if-else ECG_original_std ECG_original_std - ECG_hrv_prctile75 > if-else 
5;0.343998;0.425595;0.151786;emotional emotional -1 -1 * ECG_HR_min_div_trimmean25 > if-else emotional -0.25 0.75 0.25 / -0.75 IT_p_Total_std + * < if-else physical physical emotional 0.5 HAND_EDA_Functionals_power_Filt2prctile25 < if-else ARM_EDA_Filt1_baseline ARM_EDA_Original_mean < -0.25 IT_CCV_HF > or IT_Original_geomean(abs) 0.75 < or if-else neutral neutral mental 0.25 0 > if-else mental emotional HAND_EDA_cross_pos 0 < if-else ECG_RR_window_std IT_BRV_geomean(abs) 1 - < if-else ARM_EDA_Functionals_power_Fil12prctile25 -0.5 + IT_LF_harmmean > IT_BRV_std 0.5 / IT_BRV_median 0.5 * > or if-else ECG_p_total_LF_median 0.5 > IT_BR_mean HAND_EDA_processed_prctile75 < HAND_EDA_area HAND_EDA_processed_mad < and and ECG_p_VFL_kurtosis ECG_hrv_trimmean25 < IT_VLF_baseline IT_LF_mean < 1 IT_MF_HF < or and or if-else HAND_EDA_Original_geomean(abs) IT_MF_trimmean25 > 0.75 0 < and ECG_p_VFL_kurtosis -0.5 ^ ECG_p_MF_baseline ECG_amplitude_RR_max + > and IT_BRV_std 0.5 / IT_BRV_median 0.5 * > and 0.5 IT_LF_trimmean25 * IT_p_Total_std + -1 < and if-else 
2;0.285962;0.339286;0.357143;emotional mental -0.25 0.25 > if-else emotional ARM_EDA_Functionals_power_Originalgeomean(abs) ECG_hrv_min < if-else neutral -0.25 -1 / IT_LF_MF_HF < if-else physical mental IT_RF_mean IT_p_Total_baseline > if-else physical HAND_EDA_processed_prctile25 0.5 < if-else neutral 0 IT_PSD_kurtosis < if-else ECG_hrv_trimmean25 ECG_RR_window_trimmean25 < IT_PSD_harmmean ECG_hrv_trimmean25 > or 0.5 ECG_PSD_mean ARM_EDA_Functionals_power_Originalgeomean(abs) / 0 0.5 ^ ^ > or if-else physical emotional 0.75 0 IT_LF_median / HAND_EDA_Functionals_power_Originaltrimmean25 IT_Original_baseline + - < if-else physical physical HAND_EDA_Filt2_prctile75 IT_HF_prctile25 / -0.25 HAND_EDA_Filt2_mad + < if-else mental physical mental 0 0.75 > if-else HAND_EDA_Functionals_power_Filt2prctile75 ARM_EDA_Filt1_harmmean ^ 0 < if-else ECG_hrv_kurtosis ECG_p_HF_mean - IT_RF_prctile75 * ECG_PSD_mean < if-else ARM_EDA_Functionals_power_Originalskewness HAND_EDA_Functionals_power_Originalprctile25 * IT_LF_prctile75 + ECG_PSD_mean ARM_EDA_Functionals_power_Originalgeomean(abs) / -0.25 0.5 / ^ > if-else ARM_EDA_Functionals_power_Originalmax 0 * ARM_EDA_Filt2_baseline < IT_Original_harmmean 0.75 < or ARM_EDA_Original_prctile25 0.5 * ARM_EDA_Filt1_prctile25 < 0.25 0 < or -1 0.75 > HAND_EDA_Functionals_power_Originalmedian 0.5 > and HAND_EDA_processed_std 1 < or and or if-else 
8;0.312748;0.428571;0.25;neutral mental ECG_p_HF_mean IT_Original_Area > if-else emotional 0.25 HAND_EDA_processed_baseline < if-else physical emotional ECG_amplitude_RR_max HAND_EDA_Functionals_power_Filt2baseline > if-else physical HAND_EDA_Filt2_geomean(abs) IT_HF_baseline < if-else ECG_hrv_max -0.25 < if-else emotional emotional emotional ECG_p_MF_prctile25 HAND_EDA_Functionals_power_Filt2median < if-else 0.5 IT_HF_baseline < if-else mental ARM_EDA_Functionals_power_Filt2mad ECG_amplitude_RR_harmmean < -0.5 IT_RF_prctile75 < or 0 IT_Original_prctile75 < and if-else IT_HF_baseline -0.5 0.75 * < if-else neutral neutral mental ECG_p_total_LF_min 0.25 > -0.25 ECG_original_geomean(abs) > and 0.25 ECG_amplitude_RR_min < -0.25 0 < and or if-else ARM_EDA_Functionals_power_Originalstd ARM_EDA_Filt2_prctile75 > -0.25 IT_LF_prctile75 > and ARM_EDA_Functionals_power_Filt2mad ECG_amplitude_RR_harmmean < -0.5 0.5 < or or if-else HAND_EDA_processed_baseline 0.25 + -1 / IT_LF_MF_HF < if-else 
7;0.426339;0.53869;0.178571;emotional neutral ECG_PSD_median IT_BRV_harmmean < if-else mental HAND_EDA_Functionals_power_Filt2median -0.5 < if-else neutral ECG_hrv_median IT_MF_HF < if-else physical ECG_RR_window_prctile25 -0.5 > if-else neutral emotional -0.25 IT_LF_prctile25 > if-else emotional IT_Original_max 0.5 ECG_original_prctile25 - < if-else mental 1 ECG_HR_min_div_kurtosis * 0.5 < 0.75 -1 < or if-else neutral ECG_RR_window_std 1 < if-else HAND_EDA_Original_skewness ECG_p_HF_skewness 0.75 ^ < ECG_RR_window_prctile25 IT_MF_HF < and ECG_hrv_mean ECG_hrv_mean < IT_MF_prctile25 IT_Original_baseline < or or if-else 
9;0.281002;0.383929;0.276786;mental neutral 0.75 HAND_EDA_Functionals_power_Filt2min < ARM_EDA_Functionals_power_Filt2baseline IT_RF_baseline > and if-else physical mental IT_Original_skewness IT_PSD_mad > if-else mental emotional -0.25 -0.25 < if-else HAND_EDA_Filt2_prctile75 IT_LF_prctile25 > ECG_p_total_LF_prctile25 -0.75 < or if-else IT_CCV_LF ECG_hrv_min > if-else physical emotional mental ECG_p_LF_max ECG_RR_window_std > if-else 0.5 ECG_original_prctile75 < if-else physical emotional emotional ECG_p_total_LF_mad ECG_hrv_baseline > if-else IT_HF_LF -1 HAND_EDA_Filt2_prctile75 * > if-else IT_LF_trimmean25 ECG_hrv_prctile75 < if-else -0.5 HAND_EDA_Functionals_power_Originalmedian * IT_p_Total_max HAND_EDA_Filt1_median - + IT_BRV_min > if-else neutral emotional mental IT_p_Total_baseline 1 < if-else mental mental 0.5 HAND_EDA_Functionals_power_Fil12mean < if-else ECG_HR_min_div_mad IT_VLF_baseline > if-else IT_HF_LF IT_BRV_min + -0.75 < if-else physical 0 ECG_hrv_prctile75 > if-else ECG_p_VFL_baseline 1 > if-else 
6;0.28869;0.517857;0.214286;emotional mental HAND_EDA_n_ocu IT_LF_mad -1 * > if-else neutral ARM_EDA_Functionals_power_Originalmin IT_BRV_std > -1 IT_MF_skewness * IT_RF_max < and IT_LF_baseline HAND_EDA_Original_mad ^ IT_LF_mean > and if-else neutral emotional mental HAND_EDA_processed_skewness 0.25 < if-else physical 0.5 -0.5 > IT_RF_baseline IT_VLF_prctile75 < and if-else 1 -0.75 < IT_Original_max IT_Original_std > and 0 -0.5 ^ 1 > and if-else mental neutral mental IT_BRV_std IT_BRV_mean > if-else ECG_RR_window_trimmean25 IT_p_Total_harmmean > if-else ECG_hrv_max 0.75 -0.25 - ^ IT_HF_LF ECG_hrv_max ^ > if-else ECG_RR_window_median ARM_EDA_Filt2_mad -0.5 - -0.25 1 + IT_HF_LF * * > if-else 
10;0.292659;0.428571;0.285714;neutral neutral neutral -1 ARM_EDA_processed_min -0.5 - < if-else physical mental emotional IT_BRV_max HAND_EDA_cross_neg > if-else ECG_hrv_prctile75 IT_PSD_mean > if-else 1 IT_HF_skewness / 0.25 < if-else IT_p_Total_max 0.75 > if-else neutral neutral physical -0.75 ECG_p_total_LF_std < if-else mental IT_HF_baseline IT_CCV_LF < if-else ECG_p_LF_max -0.75 < if-else emotional ECG_hrv_prctile75 0.25 0 ECG_p_HF_std - + < 0.5 HAND_EDA_Functionals_power_Fil12prctile75 / 0.5 < IT_LF_harmmean 0.5 / 0.25 < and or if-else IT_HF_baseline 0.25 < 0.25 -1 < or ECG_p_LF_harmmean -1 * 0.25 - ECG_RR_window_median < and -0.5 1 < 0.25 IT_VLF_mean > or IT_PSD_prctile75 1 > or ARM_EDA_Functionals_power_Filt2geomean(abs) IT_HF_baseline > IT_HF_skewness 0.75 IT_RF_min * < or and or if-else 
1;0.268353;0.455357;0.3125;neutral neutral HAND_EDA_processed_min 0.5 < if-else physical emotional -0.75 0.5 < if-else -0.5 -0.25 < IT_LF_mean ARM_EDA_Filt1_max < or if-else mental mental -1 0 < -1 ECG_amplitude_RR_prctile75 < or if-else ARM_EDA_processed_mean HAND_EDA_Functionals_power_Fil12std < HAND_EDA_Functionals_power_Filt2trimmean25 -0.75 < or ARM_EDA_Filt2_trimmean25 HAND_EDA_Filt2_std < 0.25 ECG_p_MF_median < and or if-else neutral neutral HAND_EDA_processed_median 0.25 < if-else physical emotional 0.75 0.25 > if-else HAND_EDA_n_ocu -0.75 ECG_HR_min_div_geomean(abs) - < if-else mental 0.5 IT_LF_trimmean25 -1 - ^ ECG_HR_min_div_max 1 + > if-else -0.75 ARM_EDA_processed_skewness < 0.5 ARM_EDA_n_ocu < or 0.5 IT_LF_prctile25 > -0.5 ECG_p_LF_std > and and ARM_EDA_Original_trimmean25 IT_PSD_trimmean25 > -0.5 -0.5 > and ECG_HR_min_div_mean -0.5 > 0 IT_PSD_mean > and or and if-else mental emotional ECG_DBD ECG_hrv_prctile25 < if-else emotional neutral -1 0 > if-else 0 IT_Original_baseline < ARM_EDA_Functionals_power_Fil12trimmean25 IT_HF_kurtosis < and if-else emotional emotional ECG_p_VFL_harmmean -0.75 > if-else physical neutral HAND_EDA_processed_mad IT_p_Total_baseline > if-else 0.75 0 < -0.25 ARM_EDA_Original_median > and if-else ECG_hrv_trimmean25 0.5 < IT_LF_mean IT_PSD_median < ECG_EI ECG_RR_window_prctile25 < or and if-else neutral neutral ARM_EDA_Functionals_power_Filt2prctile25 ARM_EDA_Functionals_power_Filt2harmmean > if-else emotional mental IT_MF_std HAND_EDA_Functionals_power_Originalprctile75 > if-else ARM_EDA_Original_median -0.25 < HAND_EDA_Filt1_harmmean HAND_EDA_Filt2_mean < and if-else physical emotional ECG_amplitude_RR_min 1 > if-else mental physical -1 HAND_EDA_amp_scr > if-else 0.25 IT_Original_geomean(abs) < -0.75 -1 < or if-else IT_PSD_prctile75 1 > 0.75 0 < or IT_HF_prctile25 ARM_EDA_Filt2_skewness > 0.5 ECG_PSD_mean > or or if-else -0.75 IT_Original_max > IT_PSD_geomean(abs) HAND_EDA_Filt1_mean > and IT_LF_mean -0.5 > 0.25 0.25 < or or 0.5 -1 < 0.75 1 < or 0.75 ARM_EDA_Functionals_power_Filt2geomean(abs) + IT_LF_mean 0.5 ^ > and or if-else -1 ARM_EDA_Original_trimmean25 > -0.5 -0.25 > or 0.25 1 > -0.25 0.5 < and or 0 0.25 < 0.5 IT_MF_prctile25 > or HAND_EDA_processed_median 0.25 < 0.5 0.75 > or and and HAND_EDA_Functionals_power_Filt2skewness 1 > and if-else 
